year,fips,annual_avg_emplvl,annual_avg_wkly_wage,total_annual_wages,annual_avg_estabs
2015,13301,104,443,2403570,17
2015,13303,737,440,16843423,70
2015,13305,1121,435,25359080,119
2015,13307,61,484,1521816,7
2015,13309,65,365,1240108,13
2015,13311,1150,445,26604372,122
2015,13313,7332,477,181707539,424
2015,13315,118,350,2154275,24
2015,13317,351,390,7114221,46
2015,13319,154,361,2883206,25
2015,13321,374,502,9759008,56
2015,13999,5223,1191,323345473,703
2015,15001,9045,572,269140376,617
2015,15003,48003,585,1461486499,2669
2015,15007,3923,562,114639752,311
2015,15009,9749,578,293250657,745
2015,15999,82,1117,4751596,21
2015,16001,26226,610,832145024,1492
2015,16003,121,465,2932118,17
2015,16005,4451,462,106904227,304
2015,16007,233,373,4520251,25
2015,16009,297,407,6295848,34
2015,16011,1180,428,26231971,118
2015,16013,1486,589,45519723,167
2015,16015,118,280,1724932,15
2015,16017,2138,457,50857898,203
2015,16019,7646,513,203931430,449
2015,16021,483,430,10794154,46
2015,16023,86,292,1307839,14
2015,16025,23,202,236632,4
2015,16027,7487,569,221614573,448
2015,16029,238,435,5378601,30
2015,16031,1467,507,38675451,100
2015,16033,0,0,0,2
2015,16035,269,457,6399185,34
2015,16037,176,305,2790634,24
2015,16039,884,468,21522662,69
2015,16041,525,439,11981316,42
2015,16043,296,427,6577042,38
2015,16045,423,509,11186434,43
2015,16047,417,400,8668819,48
2015,16049,543,727,20520463,57
2015,16051,555,506,14601234,43
2015,16053,904,512,24053863,60
2015,16055,8294,557,240264138,546
2015,16057,1958,482,49050195,131
2015,16059,309,506,8127129,40
2015,16061,161,405,3391108,27
2015,16063,79,360,1478850,12
2015,16065,1656,447,38487105,104
2015,16067,584,552,16759172,51
2015,16069,2593,551,74348257,190
2015,16071,142,328,2418282,14
2015,16073,214,420,4676457,22
2015,16075,418,513,11161018,55
2015,16077,161,387,3233337,18
2015,16079,991,857,44158209,59
2015,16081,317,416,6850870,38
2015,16083,4800,501,124996092,329
2015,16085,628,497,16229416,76
2015,16087,257,481,6428038,25
2015,16999,0,0,0,194
2015,17001,4822,473,118578616,273
2015,17003,114,341,2020481,18
2015,17005,329,360,6165367,40
2015,17007,1372,501,35775096,97
2015,17009,0,0,0,12
2015,17011,1063,450,24896671,88
2015,17013,91,422,1991026,14
2015,17015,556,386,11161880,51
2015,17017,434,420,9494339,43
2015,17019,9099,463,219058884,590
2015,17021,1338,472,32847452,106
2015,17023,432,442,9930271,46
2015,17025,447,410,9531483,52
2015,17027,1643,483,41309259,127
2015,17029,2424,466,58699678,161
2015,17031,241470,569,7141321392,14830
2015,17033,767,437,17401219,62
2015,17035,407,518,10972064,27
2015,17037,4591,512,122224995,248
2015,17039,665,522,18034625,56
2015,17041,899,347,16244569,103
2015,17043,61358,632,2017202017,3144
2015,17045,600,416,12979966,51
2015,17047,164,387,3296597,21
2015,17049,2878,459,68673429,189
2015,17051,699,473,17187487,67
2015,17053,431,425,9507504,42
2015,17055,1362,464,32864356,119
2015,17057,1233,412,26431171,99
2015,17059,78,523,2111540,16
2015,17061,387,390,7837662,42
2015,17063,3112,630,101952063,144
2015,17065,154,387,3103070,30
2015,17067,437,369,8391514,63
2015,17069,70,343,1242449,9
2015,17071,123,309,1970984,15
2015,17073,1838,456,43605502,147
2015,17075,1173,456,27836919,90
2015,17077,3416,432,76682338,202
2015,17079,194,478,4829503,26
2015,17081,2313,460,55292043,153
2015,17083,773,473,19013185,57
2015,17085,963,441,22082118,114
2015,17087,184,424,4061371,25
2015,17089,21153,510,561511058,1355
2015,17091,5424,458,129260625,351
2015,17093,4544,454,107233969,231
2015,17095,3326,450,77892767,170
2015,17097,40821,818,1735671681,2205
2015,17099,6263,481,156672549,391
2015,17101,364,451,8546711,34
2015,17103,1346,493,34518038,102
2015,17105,1484,475,36662894,122
2015,17107,972,481,24304949,76
2015,17109,1495,422,32831755,100
2015,17111,13224,512,352088246,871
2015,17113,9089,466,220303632,468
2015,17115,5504,492,140877809,375
2015,17117,1342,475,33116990,119
2015,17119,12441,504,326257480,760
2015,17121,1189,511,31576292,116
2015,17123,264,337,4623397,35
2015,17125,426,375,8308568,42
2015,17127,298,460,7108657,37
2015,17129,245,334,4258094,24
2015,17131,354,452,8323895,39
2015,17133,1073,576,32140340,76
2015,17135,1319,509,34891685,107
2015,17137,2021,434,45582891,129
2015,17139,364,363,6873600,37
2015,17141,1823,422,40025858,115
2015,17143,10463,490,266731216,665
2015,17145,629,420,13715434,49
2015,17147,385,503,10074163,37
2015,17149,735,427,16339655,57
2015,17151,34,282,501639,5
2015,17153,107,492,2726846,16
